iter	Passed	Remaining
0	31	3153
1	34	1687
2	36	1193
3	38	932
4	41	788
5	44	696
6	90	1203
7	95	1095
8	99	1001
9	102	919
10	104	847
11	107	786
12	109	734
13	112	690
14	115	652
15	117	617
16	120	587
17	123	560
18	125	535
19	128	512
20	130	492
21	133	472
22	135	455
23	138	440
24	141	424
25	144	412
26	147	398
27	149	385
28	154	377
29	157	366
30	160	358
31	163	347
32	166	337
33	168	327
34	171	318
35	173	308
36	176	300
37	178	291
38	192	301
39	195	292
40	198	285
41	200	276
42	202	268
43	205	261
44	208	254
45	211	248
46	226	255
47	229	248
48	232	241
49	235	235
50	237	228
51	240	221
52	242	215
53	245	208
54	246	201
55	249	196
56	253	191
57	282	204
58	284	197
59	287	191
60	290	185
61	292	179
62	294	173
63	297	167
64	300	161
65	302	155
66	305	150
67	307	144
68	318	143
69	321	137
70	324	132
71	327	127
72	329	121
73	332	116
74	334	111
75	337	106
76	340	101
77	343	96
78	373	99
79	376	94
80	378	88
81	381	83
82	384	78
83	387	73
84	389	68
85	392	63
86	394	59
87	397	54
88	400	49
89	402	44
90	405	40
91	407	35
92	409	30
93	412	26
94	414	21
95	416	17
96	418	12
97	420	8
98	422	4
99	424	0
